command,description
setpos 1296.000000 32.000000 -103.968750;setang -28.912655 -165.958206 0.000000,Инстак 1
setpos 1296.000000 -352.000000 -103.968750;setang -42.455078 -173.246902 0.000000,Инстак 2
setpos 1216.000000 -16.000000 -102.953156;setang -42.527740 -165.856476 0.000000,Инстак 3
setpos 1216 -211 -163.96875; setang -45.842514 -170.27539;,Инстак 4
setpos 1216.000000 -115.000000 -102.953156;setang -44.461876 -167.666443 0.000000,Инстак 5
,
setpos 1090.9359130859375 -1013.1129150390625 -257.57415771484375; setang -28.979523 -144.03796;,КТ
setpos 967.7123413085938 -1032.0335693359375 -255.4373779296875; setang -26.51001 -148.81874;,НедоСити
setpos 814.9685668945312 -1548.9822998046875 -108.96875; setang -30.013275 -177.82677;,Джангл Сверху
setpos 814.9166259765625 -1549.0377197265625 -108.96875; setang -3.8963623 -179.28726;,Стейрс Сверху (С двух кнопок)
setpos 907.886047 -1036.031250 -194.619080;setang -56.234268 -161.656998 0.000000,Джангл Снизу
setpos 908.409485 -1036.031372 -194.624115;setang -65.011642 -159.897186 0.000000,Стейрс Снизу
setpos 1422.968506 -367.968750 -103.968750;setang -35.549023 -148.858917 0.000000,Джангл с Т
setpos 1422.966797 -367.968750 -104.128754;setang -46.863644 -146.532104 0.000000,Стейрс с Т
setpos 1422.968750 34.830574 -103.968750;setang -27.190342 -151.018829 0.000000,Стейрс*
setpos 16.085663 -2360.043701 24.031250;setang -11.649335 79.804436 0.000000,"Джангл смок апдейт, отпустить при касании деревяшки"
setpos -30.466675 -1418.031250 -104.042984;setang -6.760194 -105.059410 0.000000,Молотов андерпалас с пита
setpos 272.032958984375 -2224.03125 -39.96875; setang 8.439209 74.170074;,Молотов андерпалас с паласа
setpos 815.93505859375 -1400.4915771484375 -108.96875; setang -34.05591 -155.46857;,Флеш А 1
setpos 1422.96630859375 36.46875 -167.96875; setang -42.56996 -165.68036;,Смок старт дальний
setpos 1422.967529296875 36.46875 -167.96875; setang -42.415802 -160.46185;,Смок старт ближний
setpos 1422.968994 36.468761 -104.128754;setang -29.738510 -173.694839 0.000000,Смок шорт
,
setpos 343.30181884765625 -621.6195068359375 -162.33172607421875; setang -40.01152 -179.67384;,Апдейт окно (сидя)
setpos 343.3024597167969 -621.6182861328125 -162.331787109375; setang -41.18431 -150.52643;,Апдейт топ кон
setpos 343.298828125 -621.6172485351562 -162.33154296875; setang -12.935715 -129.42477;,НедоСити с топ мида
setpos 502.964599609375 -64.03125 -160.002197265625; setang -0.37628174 176.8277;,Молотов шорт
setpos 236.0330352783203 298.30059814453125 -255.96875; setang 6.028061 -89.37584;,Флеш Мид
setpos -1071.96875 -788.9702758789062 -263.96875; setang -24.146912 126.21643;,Молотов Ладдер
,
setpos -944.031494140625 -380.03125 -263.96875; setang 8.951447 -117.945786;,Молотов Джангл из Андера
setpos -968.03125 -380.0135498046875 -345.958251953125; setang -58.938904 -76.9812;,Смок джангл из андера
setpos -968.0342407226562 -380.0731201171875 -345.928466796875; setang -63.702507 -72.22309;,Топ кон из андера
,
setpos -161.03125 575.9420776367188 -69.76727294921875; setang -8.102417 -154.80115;,Смок Китчен Окно
setpos -160.031250 887.968750 -71.648178;setang -42.076122 -152.020493 0.000000,Смок Китчен Дверь
setpos -160.0313720703125 887.97265625 -135.32818603515625; setang -44.043854 -134.59521;,Смок шорт
setpos -316.480712890625 645.6507568359375 -79.8250732421875; setang -9.239838 -169.33743;,Флеш шорт для Б
,
setpos -1225.557007 801.506958 -16.128754;setang 1.214361 -162.537354 0.000000,Смок Б апс
setpos -1167.9686279296875 653.3511352539062 -79.96875; setang -8.095886 170.7042;,Молик Б кар
setpos -1384.610107 807.940735 -15.968750;setang -12.980824 -148.862671 0.000000,Флеш Б бек сайт (сидя)
setpos -1520.03125 804.362060546875 -47.96875; setang -1.5181732 -127.30579;,Молотов Бек сайт
,
setpos -160.03125 887.96435546875 -135.3280029296875; setang -7.370117 -120.20691;,Флеш шорт с Б
,
,
,
setpos -788.818359375 -2218.443115234375 -179.96875; setang -10.46756 83.95993;,Смок боттом мид